"","Year","cluster3","MetrPrice","House_Share","FoodKCaloriesHH_Per","SampleSize","Engle","FPLine","PovertyLine","PovertyHCR","PovertyGap","PovertyDepth"
"1",90,1,83483.0965608554,0.443547149855997,2287.62474677021,1089,0.165292886959582,538966.343260382,3316578.18654671,0.233762455512661,0.207407471378441,0.0819471625078852
"2",90,2,35727.640876617,0.312776449021193,2569.11359506775,1579,0.218897728896264,372074.308418801,1977877.0245746,0.126842924462438,0.125804934913918,0.0516412356021404
"3",90,3,25061.3638713744,0.25118122939319,2538.63241564292,4400,0.239137669118255,411974.625792811,1973878.89796492,0.209915226891303,0.186378607984809,0.0773159909190983
"4",90,4,24330.8977394916,0.262892767864476,2860.7299882044,4797,0.256382803739982,402817.739392775,1762227.58958577,0.197775493930086,0.166355756855617,0.0639012528441496
"5",90,5,19538.4515696242,0.20936612843997,2937.45441151759,1987,0.260508862263081,329705.07676859,1479714.55304039,0.154011532101142,0.188396712998371,0.0702069474629338
"6",90,6,19742.6665853312,0.223675870448945,3034.81788824244,4156,0.283955951648934,411401.499700919,1659984.78529518,0.202138262493893,0.157440035512272,0.0576348280318594
"7",90,7,16418.1123550452,0.231039168595385,2495.07696910701,687,0.352659161769391,324555.970062776,935674.465083393,0.220010192249405,0.251154666647315,0.106409791006408
"8",90,8,33161.1607406999,0.311312555853764,2405.98492102608,1017,0.276986743247401,362540.561711185,1403219.42363428,0.143650964094553,0.132207647253527,0.0717455820722367
"9",90,9,9777.74347668737,0.13591496840521,3148.82505632481,1316,0.30481145094164,324555.970062775,1260133.14852689,0.0969207845269246,0.158734703532068,0.0583547617004276
"10",90,10,9419.48318949192,0.127412971947112,2903.17913942162,3273,0.343903599331595,324555.970062775,1036670.15677403,0.102133259783353,0.150345059455961,0.0597390872140685
"11",90,11,8531.06417123045,0.109382598529937,3442.92936506485,5207,0.340462743802871,324555.970062775,1057467.89439006,0.0941921008422029,0.119273459409233,0.0697238789729074
"12",90,12,8163.57273027914,0.105820489695703,3466.60564372655,6710,0.363106707097949,324555.970062775,989379.4012188,0.102821246039596,0.128244420782661,0.0413810972150441
"13",90,13,8308.99756561054,0.141871633634799,2960.556884941,2206,0.407410875801043,324555.970062776,781694.58856796,0.203237286720488,0.249629014550616,0.189838274200897
"14",91,1,109880.293590017,0.440277382166869,2326.48765155119,1080,0.176615573540941,770934.260677972,4492430.41261177,0.262802102833813,0.219545310882777,0.0896983761517743
"15",91,2,46513.6914218407,0.333007520480896,2511.32545856026,1554,0.226179838060471,542750.694155711,2615065.70188188,0.14841091217869,0.144509484674511,0.049032653348927
"16",91,3,30844.6296669873,0.265749881373049,2474.61990474244,4359,0.253546124577046,589699.978416897,2619676.56352066,0.279488265561429,0.189068867101122,0.0823303061977023
